Sample Skill,Similar Skills
dlp,isdn(0.9354846477508545),switchconfiguration(0.9333174824714661),enterprisenetworks(0.926560640335083),ciscorouter(0.9194193482398987),fwsm(0.9172918796539307)
r,datageneration(0.8523247838020325),hdpe(0.8384749889373779),ngs(0.8256580829620361),cal(0.8232978582382202),aa(0.8221543431282043)
xslt,xsl(0.952512264251709),dhtml(0.8888358473777771),xml(0.8757198452949524),dtd(0.865533709526062),xhtml(0.8591265678405762)
latex,octave(0.9385298490524292),caffe(0.8136072754859924),c c(0.8075510859489441),panorama(0.8051411509513855),prolog(0.7990652918815613)
ruby,sdk(0.88200443983078),scriptinglanguage(0.8656178116798401),perl(0.8604463338851929),rails(0.8589109182357788),lamp(0.8568548560142517)
oscp,information security(0.8245178461074829),burpsuite(0.8186162710189819),metasploit(0.7854285836219788),scikitlearn(0.7640871405601501),kalilinux(0.7502160668373108)
rapport,results oriented(0.959618091583252),peoplemanagementskills(0.9586416482925415),relationship building(0.9522281885147095),meticulous(0.9512125849723816),conflictresolution(0.9490675330162048)
audit,reconciliation(0.9666548371315002),taxation(0.9438314437866211),ledger(0.9232478737831116),balancesheet(0.9228872656822205),journalentries(0.918076753616333)
windows,xp(0.8573334217071533),vista(0.8442333936691284),windows7(0.8417842388153076),macos(0.8392114043235779),windows8(0.8388811349868774)
information security,oscp(0.8245176672935486),vxworks(0.7553355097770691),hspa(0.7412874102592468),solarisadministration(0.7217895984649658),wcdma(0.7215151190757751)
meanstack,mean(0.9667538404464722),mern(0.930039644241333),mernstack(0.9173111915588379),expressjs(0.8942338228225708),self motivation(0.8766244053840637)
learnnewtechnologies,programmingskills(0.8863322734832764),goodteamplayer(0.8805736303329468),goodanalyticalskills(0.869313657283783),problemsolvingskills(0.8643925786018372),selfdevelopment(0.8582950830459595)
stronganalyticalskills, problemsolving(0.9048725962638855),analyticalskills(0.8926897048950195),problemsolvingskill(0.8899646401405334),process orientation(0.8843355774879456),web designing(0.8833047151565552)
problemsolving,problemsolvingskills(0.9089164733886719),interpersonal(0.8895710706710815), problemsolving(0.8871045708656311),analyticalskills(0.8856936097145081),analytical(0.8814918398857117)
analytical,problemsolvingskills(0.9165679216384888),analyticalskills(0.8940194249153137),problemsolving(0.8814915418624878),analytical problemsolving(0.8426954746246338),stronganalyticalskills(0.8390954732894897)
analyticalskills,problemsolvingskills(0.9386818408966064),goodanalyticalskills(0.9258296489715576),goodteamplayer(0.9176802039146423),teamenvironment(0.9011732339859009),workethics(0.901105523109436)
angularjs,jquery(0.9590111374855042),react(0.9457380771636963),angular6(0.9449508786201477),angular2(0.9435825943946838),angular7(0.9350169897079468)
jquery,angularjs(0.9590111970901489),bootstrap(0.9550853371620178),react(0.9535115957260132),ajax(0.9382315278053284),angular6(0.9377203583717346)
bootstrap,html5(0.9651755690574646),jquery(0.9550853371620178),rwd(0.9456741809844971),stylesheets(0.9420753121376038),reactjs(0.9407424926757812)
scripting,shell(0.8518752455711365),perl(0.8429189920425415),scriptinglanguages(0.8193697929382324),css20(0.8156220316886902),unixshell(0.7885696291923523)
nodejs,expressjs(0.9282978177070618),typescript(0.9228553771972656),redux(0.9205195903778076),angular2(0.9138460159301758),bootstrap4(0.9114832282066345)
searchengine,onpageoptimization(0.7768499851226807),sitesearch(0.7765547037124634),searchengineoptimization(0.7659699320793152),catalog management(0.7520545125007629),keywordresearch(0.7365018129348755)
webtechnologies,html(0.8859376907348633),oopsconcept(0.8514108061790466),css(0.8234969973564148),webtechnology(0.821404218673706),javascript(0.8149689435958862)
streaming,solr(0.9217877388000488),cloudera(0.917569100856781),impala(0.9148507118225098),flume(0.90934818983078),nosqldatabases(0.903054416179657)
dataprocessing,bigdata(0.8981075286865234),distributedfilesystem(0.8779387474060059),mapreduce(0.8670280575752258),bigdatatechnologies(0.8480653762817383),bigdataanalysis(0.8398412466049194)
visualization,dataanalytics(0.8885117769241333),datavisualization(0.8809930086135864),businessintelligence(0.8676027655601501),dataarchitecture(0.8475270867347717),dataprocessing(0.8390993475914001)
kibana,pipelines(0.964935302734375),bamboo(0.9420124888420105),gitlabci(0.9334015846252441),kubernetes(0.9331614375114441),spinnaker(0.9240120649337769)
nis,sftp(0.9626121520996094),nfs(0.9603063464164734),smtp(0.9531445503234863),udp(0.9518001079559326),snmp(0.9488903880119324)
network,networks(0.8850380182266235),cisco(0.8523510694503784),lan(0.8114363551139832),networksecurity(0.810933530330658),routing(0.8000435829162598)
analysis,technicalanalysis(0.7136882543563843),datacleansing(0.6993854641914368),rootcause(0.6729559302330017),design development(0.6698518991470337),systemanalysis(0.6671857237815857)
powershell,powershellscripting(0.8977848887443542),rhcsa(0.8971636295318604),ticketingtool(0.8932788372039795),sockets(0.8809875249862671),sed(0.8801873326301575)
scripts,automationanywhere(0.8702403903007507),uft(0.8571121096611023),loadrunner(0.8529337048530579),vbscripting(0.8404304385185242),automationscripts(0.8397731184959412)
usb,wlc(0.9327595829963684),ieee8021x(0.9321934580802917),networkdesign&implementation(0.9308114647865295),enterprisenetworks(0.9294622540473938),process review(0.9279782772064209)
malwareanalysis,cifs(0.9242621064186096),emc vnx(0.912616491317749),lte(0.9024662971496582),zabbix(0.9022248983383179),wlc(0.8994603157043457)
access,attask(0.685901939868927),strategyandimplementation(0.6822179555892944),outlook;nationalityandstatussouthafricanwithaukresidentspermitandtherighttoworkintheuk(0.6523196697235107),ebi(0.6521258354187012),windows xp(0.6466493606567383)
siem,appliance(0.9510790109634399),solarwinds(0.9507794976234436),glbp(0.9478150606155396),vrrp(0.9416342973709106),networkprotocols(0.9409117102622986)
splunk,puppet(0.9418140649795532),ansible(0.929545521736145),openstack(0.9193786978721619),chef(0.9072079062461853),enform(0.8999696969985962)
networkmonitoring,networkarchitecture(0.9602623581886292),soc(0.9407724738121033),ciscocertified(0.9389125108718872),layer2(0.9340867400169373),wlc(0.9310491681098938)
incidentmanagement,problemmanagement(0.9152364134788513),itil(0.8995389938354492),clarion(0.8972383737564087),itilprocesses(0.8934098482131958),ibmmainframes(0.8716676235198975)
soc,hardwaremaintenance(0.9549713730812073),lte(0.951920211315155),networkadministration(0.9480652213096619),networkmonitoring(0.9407724738121033),networkmaintenance(0.933504581451416)
process review,wlc(0.9422554969787598),enterprisenetworks(0.9393651485443115),switchconfiguration(0.9377198815345764),ieee8021x(0.9315798878669739),usb(0.9279781579971313)
english,hindi(0.9174715876579285),tamil(0.8507664799690247),mandarinchinese(0.8091568946838379),games(0.7994994521141052),goodskillsofanalysinginformation(0.7534263730049133)
hindi,tamil(0.9506697058677673),english(0.9174715280532837),mathematics(0.8351362347602844),sincere(0.8323932886123657),computerskills(0.8303840756416321)
tamil,hindi(0.9506697654724121),punjabi(0.9358607530593872),arabic(0.9218934774398804),communicationskill(0.9113184809684753),sincere(0.9040242433547974)
collectionactivities,cst(0.9249703884124756),taxreturns(0.891867458820343),loansales(0.8907179832458496),emergencymanagement(0.8888549208641052),schematics(0.8822405934333801)
networksecurity,networkingfundamentals(0.942086398601532),desktopsupport(0.9405545592308044),osi(0.9331120848655701),mcse(0.9305898547172546),ccna(0.9283252358436584)
firewall,wan(0.9730266332626343),symantec(0.9679837226867676),firewalls(0.9675091505050659),routers(0.9658138155937195),dhcp(0.9647748470306396)
routers,wan(0.9782304167747498),vlan(0.9756643772125244),dhcp(0.9751936793327332),vpn(0.968881368637085),firewall(0.9658138155937195)
unix,unix shellscripting(0.9087032675743103),unixshellscripting(0.9004901051521301),unix linux(0.882960319519043),unixshell(0.8820054531097412),shell(0.8792030811309814)
webservers,tomcat(0.9476082921028137),apachetomcat(0.9461373686790466),applicationservers(0.943854033946991),weblogic(0.9282438158988953),jboss(0.9275380373001099)
analysing,designingsolutions(0.9430485963821411),s1000d(0.9125244617462158),systemintegration(0.9097567200660706),wirelessnetworking(0.8994085192680359),processdocumentation(0.8873147368431091)
reportgeneration,jazz(0.9305239319801331),fogbugz(0.9123299717903137),quicktestpro(0.9086057543754578),mercury(0.8913249969482422),tac(0.887837290763855)
securityoperationscenter,netcool(0.8834823966026306),t1(0.8660624623298645),layer3(0.8650360107421875),cisconexus(0.8648535013198853),ptp(0.8633968830108643)
securityoperations,costeffective(0.9234727025032043),infrastructuremanagement(0.9092112183570862),distributedcomputing(0.9039358496665955),ciscounity(0.893503725528717),itoperations(0.8900608420372009)
sla,problemmanagement(0.9286724328994751),rca(0.9016815423965454),sharedservices(0.8970220685005188),benchmarking(0.8873175978660583),hardwareengineering(0.8838998079299927)
vulnerabilities,ciscoswitches(0.9520696401596069),directoryservices(0.9370601773262024),networkdesign(0.9333034157752991),ips(0.9295850992202759),windowsserver2008r2(0.9284437298774719)
qualys,gre(0.9640902280807495),afm(0.9633499979972839),dmvpn(0.961951494216919),cacti(0.9563755393028259),ciscofwsm(0.955325186252594)
vulnerability,zabbix(0.9529452323913574),networkautomation(0.94683438539505),maintenanceactivities(0.944525957107544),informationsecurity(0.9167410135269165),wimax(0.9092406034469604)
dns,dhcp(0.990513265132904),vpn(0.961384654045105),firewall(0.9613075852394104),routers(0.9610698819160461),vmware(0.9555294513702393)
console,vm(0.9357233643531799),migrations(0.9140653610229492),greenplum(0.901884913444519),clustermanagement(0.8907524943351746),azuresql(0.8863558769226074)
scanning,faultfinding(0.7972410917282104),wideareanetworks(0.7411474585533142),storage(0.7406055927276611),administrativemanagement(0.7244284152984619),ipx(0.7243930101394653)
endpointsecurity,cpu(0.9399299025535583),virtualmachines(0.9389817118644714),loadbalancing(0.9322808384895325),virtualization(0.927531898021698),automationplatform(0.9243990182876587)
fireeye,siem(0.8829286694526672),endpointsecurity(0.8776839971542358),automationplatform(0.8654381036758423),loadbalancing(0.8634586334228516),virtualmachines(0.8598631620407104)
cloud,aws(0.8831276893615723),amazonwebservices(0.8561414480209351),s3(0.8188192844390869),cloudcomputing(0.8127415180206299),ec2(0.8053405284881592)
mcafee epo,threatmanagement(0.8203350901603699),cloudsecurity(0.7538573741912842),mgcp(0.74830561876297),ieee8025tokenring(0.7430749535560608),srx(0.7312372326850891)
mcafee,altiris(0.9595330357551575),virtualdesktop(0.9481185078620911),acronistrueimage(0.939256489276886),wsus(0.9381996989250183),checkpointfirewall(0.9353259205818176)
object orientedprogramming,leadteams(0.9376450181007385),object oriented(0.929160475730896),enterprisesolutions(0.9217709898948669),enterpriseapplications(0.9092684984207153),development(0.9071230292320251)
webapplications,fullstack(0.886254608631134),front end(0.8786799907684326),design(0.87649005651474),userinterface(0.8666400909423828),enterprisesolutions(0.8637042045593262)
enterprisesolutions,object orientedprogramming(0.9217711091041565),design(0.9067273736000061),development(0.9026073813438416),softwaredesign(0.8803722858428955),userinteraction(0.8772597908973694)
sdlc,waterfallmodel(0.860296368598938),agilemethodology(0.8493486046791077),waterfall(0.840157151222229),softwaredevelopmentlifecycle(0.8169535398483276),softwaredevelopmentmethodology(0.7972627878189087)
requirementgathering,development testing(0.8637809157371521),developmentlife cycle(0.8487496972084045),enterprisesolutions(0.8462008237838745),requirementsgathering(0.8434516191482544),softwaresolutions(0.8294005990028381)
designing,aem62(0.7016482353210449),publishing(0.6706310510635376),enterprisesolutions(0.657735288143158),prototyping(0.6500841379165649),design(0.641446053981781)
testing,functionaltesting(0.8728799819946289),integrationtesting(0.8652539849281311),softwaretesting(0.856204628944397),useracceptance(0.8535058498382568),manualtesting(0.8440293669700623)
html5,bootstrap(0.9651755094528198),css3(0.957162082195282),rwd(0.94229656457901),jquery(0.9359275102615356),stylesheets(0.9336493015289307)
css3,html5(0.9571620225906372),react(0.9421523809432983),react redux(0.942087709903717),jquery(0.9360493421554565),bootstrap(0.9348992705345154)
ajax,xhtml(0.9437806010246277),jquery(0.9382315874099731),json(0.9377081990242004),react(0.9225127696990967),dom(0.9120856523513794)
react redux,webarchitecture(0.9656056761741638),responsivewebdesign(0.9588207006454468),react(0.9567749500274658),redux(0.9552005529403687),reactnative(0.9536357522010803)
dom,webarchitecture(0.9668907523155212),redux(0.94663405418396),backbonejs(0.9370828866958618),xhtml(0.9311215877532959),dojo(0.9281960129737854)
json,react(0.9417658448219299),ajax(0.93770831823349),dom(0.9278417825698853),jquery(0.9260979294776917),xhtml(0.9188883304595947)
xml,xslt(0.8757197856903076),json(0.8320174217224121),dhtml(0.8291926383972168),ajax(0.8210090398788452),xsl(0.818909764289856)
webarchitecture,redux(0.9807700514793396),dom(0.9668908715248108),backbonejs(0.9668510556221008),react redux(0.9656056761741638),reactnative(0.9578683972358704)
reactjs,bootstrap4(0.9416927099227905),bootstrap(0.9407423734664917),typescript(0.9398084282875061),angular4(0.9357913136482239),redux(0.9306812882423401)
redux,webarchitecture(0.9807699918746948),es6(0.9718669056892395),reactnative(0.964164137840271),requirejs(0.9568034410476685),responsivewebdesign(0.9564854502677917)
reactnative,responsivewebdesign(0.9770458936691284),es6(0.9717395305633545),redux(0.9641640186309814),webarchitecture(0.9578683972358704),react redux(0.9536358714103699)
responsivewebdesign,reactnative(0.9770458936691284),es6(0.9687255024909973),react redux(0.958820641040802),redux(0.956485390663147),rwd(0.9551283121109009)
es6,redux(0.9718669652938843),reactnative(0.9717395305633545),responsivewebdesign(0.9687254428863525),webarchitecture(0.9433624744415283),crossbrowsercompatibility(0.9390592575073242)
typescript,bootstrap4(0.9650106430053711),angular4(0.9417235255241394),reactjs(0.9398084878921509),es6(0.937588632106781),redux(0.9353293776512146)
mern,mernstack(0.9893604516983032),mean(0.9698829054832458),meanstack(0.9300397038459778),webpack(0.9181591272354126),expressjs(0.9095379710197449)
expressjs,es6(0.9366277456283569),typescript(0.9353253245353699),redux(0.9301238656044006),nodejs(0.928297758102417),bootstrap4(0.9280014038085938)
mean,mernstack(0.9732121825218201),mern(0.9698828458786011),meanstack(0.9667538404464722),webpack(0.9217899441719055),expressjs(0.9112986922264099)
mernstack,mern(0.9893603920936584),mean(0.9732121825218201),webpack(0.9302674531936646),spas(0.9245052933692932),meanstack(0.9173112511634827)
applicationsexperience,react/redux(0.8420495390892029),meteor(0.8215504884719849),w3cstandards(0.8204008340835571),documentediting(0.8059952855110168),aurelia(0.7993592023849487)
crossbrowsercompatibility,responsivewebdesign(0.9466112852096558),es6(0.9390593767166138),reactnative(0.9325312376022339),webpack(0.9300655126571655),redux(0.9101367592811584)
webpack,spas(0.9889333248138428),modelviewcontroller(0.9532143473625183),webstandards(0.9421840906143188),es6(0.9384282827377319),mernstack(0.9302673935890198)
spas,webpack(0.9889332056045532),modelviewcontroller(0.9626513719558716),webstandards(0.9508794546127319),reduxarchitecture(0.9278181791305542),mernstack(0.9245052337646484)
modelviewcontroller,spas(0.9626513719558716),webpack(0.9532142877578735),webstandards(0.9446130394935608),reduxarchitecture(0.9273542761802673),crossbrowsercompatibility(0.8914679288864136)
angular,angular2(0.9457433223724365),angular6(0.9335956573486328),angular4(0.9279861450195312),angular7(0.9259597063064575),typescript(0.9200524687767029)
webstandards,reduxarchitecture(0.9597744941711426),spas(0.9508794546127319),modelviewcontroller(0.9446131587028503),webpack(0.9421840310096741),npm(0.9319908618927002)
media,socialmedia(0.8517969250679016),socialmediaoptimization(0.8486574292182922),offpage(0.8414520621299744),seo(0.8404191136360168),googleadwords(0.8338757753372192)
reduxarchitecture,webstandards(0.959774374961853),bower(0.945376455783844),npm(0.9307366013526917),spas(0.9278183579444885),modelviewcontroller(0.9273542761802673)
middleware,reduxarchitecture(0.8669759631156921),bower(0.8522657752037048),apacheaxis(0.8463094830513),cxf(0.8401587605476379),applicationdeployments(0.8395438194274902)
management,managementsystem(0.6207447052001953),elementmanagementsystem(0.6065412163734436),geographicinformationsystem(0.5867040753364563),processorders(0.5741170048713684),stockmovement(0.5666103363037109)
npm,bower(0.9822003841400146),grunt(0.971278727054596),mongoose(0.9455956220626831),webstandards(0.9319908618927002),reduxarchitecture(0.9307367205619812)
yarn,bower(0.8629705309867859),npm(0.8444579243659973),mongoose(0.8317726254463196),reduxarchitecture(0.8252705335617065),middleware(0.8120191693305969)
bower,npm(0.9822003245353699),grunt(0.966060221195221),mongoose(0.9624426960945129),reduxarchitecture(0.9453763961791992),webstandards(0.9120540618896484)
it,distributionsystems(0.6327646374702454),itsolutions(0.564760148525238),itinfrastructureservices(0.5524442195892334),lua(0.5435084700584412),design development(0.5408217906951904)
grunt,npm(0.9712786078453064),mongoose(0.9667220115661621),bower(0.9660604000091553),webstandards(0.9021112322807312),reduxarchitecture(0.8832007646560669)
mongoose,grunt(0.9667218923568726),bower(0.9624426960945129),npm(0.9455956220626831),parser(0.8936578035354614),buildtools(0.8773102164268494)
parser,mongoose(0.8936578035354614),sax(0.8632940053939819),bower(0.8603927493095398),jstl(0.845219075679779),grunt(0.841839611530304)
buildtools,versioncontroltools(0.9270526170730591),gradle(0.9064965844154358),buildtool(0.89693683385849),maven(0.8923888206481934),gulp(0.8907480239868164)
versioncontroltools,svn(0.9307572245597839),buildtools(0.9270527362823486),configurationmanagementversioncontrol(0.9210321307182312),gulp(0.9111652970314026),git(0.8973974585533142)
git,versioncontroltools(0.897397518157959),svn(0.8900858759880066),configurationmanagementversioncontrol(0.8573620915412903),github(0.8522180318832397),buildtools(0.8443443775177002)
projectmanagement,assembly//implementing(0.7389541268348694),customerrelations(0.716262936592102),processautomation pps(0.7152067422866821),dmr(0.7135090231895447),useracceptancetestinguat(0.6910116672515869)
databaseprogramming,gulp(0.9618861079216003),relationaldatabases(0.9235714673995972),versioncontroltools(0.8876311182975769),firefox(0.8737028241157532),buildtools(0.8642832636833191)
gulp,databaseprogramming(0.9618861675262451),firefox(0.9220722317695618),versioncontroltools(0.9111652970314026),relationaldatabases(0.9035612344741821),buildtools(0.8907480239868164)
ui,userinterface(0.8862822651863098),mobileweb(0.8756828308105469),uidevelopment(0.8666054606437683),razor(0.8466968536376953),accessibility(0.8454006314277649)
firefox,gulp(0.9220722317695618),relationaldatabases(0.8844441771507263),mozilla(0.8824350237846375),databaseprogramming(0.8737027049064636),firebug(0.8551080226898193)
relationaldatabases,databaseprogramming(0.9235714673995972),gulp(0.9035612344741821),non relationaldatabase(0.9019420742988586),firefox(0.8844442367553711),firebase(0.8742252588272095)
sqlserver,sqlserver2008(0.9163453578948975),mssqlserver(0.8987489342689514),microsoftsqlserver(0.8960089087486267),microsoftsql(0.8940282464027405),mssql(0.8914425373077393)
firebase,non relationaldatabase(0.9499363899230957),kotlin(0.9312863945960999),jade(0.9188872575759888),flask(0.9102658629417419),mysqldatabase(0.9036211371421814)
non relationaldatabase,jade(0.9786984324455261),firebase(0.9499363899230957),jasmine(0.9374951720237732),relationaldatabases(0.9019420146942139),subversion(0.9004694819450378)
jasmine,jade(0.9604641795158386),non relationaldatabase(0.9374951720237732),subversion(0.9221041202545166),github(0.9117245078086853),firebase(0.8835539221763611)
jade,non relationaldatabase(0.9786984920501709),jasmine(0.9604641795158386),subversion(0.9493871331214905),github(0.9264155626296997),firebase(0.918887197971344)
subversion,jade(0.9493871927261353),github(0.9301621913909912),bootstarp(0.9261175990104675),jasmine(0.9221041798591614),non relationaldatabase(0.9004695415496826)
github,subversion(0.930162250995636),jade(0.9264155030250549),jasmine(0.9117244482040405),non relationaldatabase(0.8921328783035278),firebase(0.8739660382270813)
ubuntu,windows10(0.8845422267913818),oopsconcept(0.8839297294616699),djangorestframework(0.8821894526481628),jupyternotebook(0.8808686137199402),logging(0.854823887348175)
agile scrum,waterfall(0.911850094795227),testdrivendevelopment(0.8783963918685913),agile(0.8701578378677368),scrum(0.8524790406227112),tdd(0.8512908816337585)
tdd,bdd(0.912790834903717),kanban(0.8661169409751892),testdrivendevelopment(0.8599427342414856),agile scrum(0.8512908816337585),continuousintegration(0.8509698510169983)
bdd,tdd(0.912790834903717),continuousintegration(0.9066495895385742),cucumber(0.8993065357208252),postman(0.8963553309440613),pageobjectmodel(0.8932871222496033)
waterfall,agile(0.9505681991577148),scrum(0.9435573816299438),agile scrum(0.9118500351905823),agilescrum(0.902870237827301),agile/scrum(0.8840988874435425)
agile,waterfall(0.9505682587623596),scrum(0.9470102190971375),agile scrum(0.8701578378677368),scrumenvironment(0.8493647575378418),agilemethodology(0.8458706140518188)
oraclesql,oracle10g(0.9556615352630615),oracle11g(0.9463326334953308),sqldeveloper(0.945476233959198),oracle10g/11g(0.9298511743545532),pl/sql(0.9256235957145691)
oracle,oraclesql(0.8322315812110901),oracle11g(0.8315163850784302),db2(0.7948176264762878),amadeus(0.79018235206604),oracle10g(0.7896053194999695)
sql,mssqlserver(0.7965314388275146),sqlserver(0.7892555594444275),pl/sql(0.7845922112464905),oracle sql(0.781136155128479),sql pl(0.7733212113380432)
debugging,debuggingskills(0.8264787793159485),debug(0.8093734383583069),uim(0.8085591793060303),mobile applications(0.7903345227241516),softwaretechnologies(0.7890164852142334)
prioritizing,coordinationskills(0.9270679354667664),oralcommunications(0.9207535982131958),interpersonal communication(0.9125792980194092),handlingteam(0.9124618172645569),resolvingproblems(0.9097161293029785)
slas,managementplan(0.9333406090736389),tandem(0.9298502206802368),cuttingtools(0.928231954574585),integrationmanagement(0.9261170029640198),supplymanagement(0.925683319568634)
multi task,problem solving(0.9171978235244751),teamspirit(0.9151807427406311),smartworking(0.9024572968482971),multi tasking(0.8995791673660278),leadershipskills(0.8984878659248352)
inter personal,personalskills(0.9483197331428528),goodproblemsolvingskills(0.9366883039474487), problemsolving(0.9349458813667297),presentationskills(0.9215721487998962),problemsolvingskill(0.9172535538673401)
communication,decisionmaking(0.8750327229499817),fluentspeaking(0.8699522018432617),communicationskill(0.8552693724632263),leadershipquality(0.8486256003379822),teamspirit(0.8458560109138489)
applicationsupport,datamodelingskills(0.8491501212120056),serverfarms(0.8423117995262146),wirelessnetworking(0.836136519908905),s1000d(0.8261362314224243),designdocument(0.8256015181541443)
sunsolaris,ibmaix(0.9676629900932312),solaris(0.961736798286438),rhel(0.9551189541816711),redhatlinux(0.9549599289894104),hp ux(0.9512877464294434)
windows7,windows8(0.9326696991920471),vista(0.9278796315193176),macos(0.9266085624694824),windowsxp(0.9250747561454773),windowsvista(0.9197011590003967)
solaris,sunsolaris(0.961736798286438),aix(0.9609904885292053),hp ux(0.9535592794418335),redhatlinux(0.9439427852630615),ibmaix(0.9356492161750793)
plsql,teradata(0.9222950339317322),sybase(0.9207702875137329),sql pl/sql(0.9177815318107605),shellscripts(0.9153183102607727),sybaseiq(0.9132661819458008)
oracle9i,osb(0.8431259393692017),aia(0.8185843825340271),springjdbc(0.8185561299324036),multi threading(0.814552903175354),sax(0.8110668063163757)
servicenow,servicedesk(0.9283255338668823),control m(0.9197804927825928),winrunner(0.9044169187545776),pvcs(0.8962286114692688),ticketing(0.8920009732246399)
autosys,control m(0.9636520743370056),itrs(0.931491494178772),integration/management(0.9226416349411011),foxbase(0.9180033206939697),tkprof(0.9144525527954102)
corn,azureservicebus(0.8880389928817749),amazonaurora(0.8805493712425232),sed(0.8773945569992065),linuxservers(0.8752166628837585),awk(0.872242271900177)
